company,job,city,min_salary,max_salary,experience,education,financing,size,insurance,bonus,examination,weekend,prospect,team,travel,train
一张满减券,python开发,深圳,10000.0,11000.0,1-3年,本科,未融资,15-50人,N,N,N,N,N,N,N,N
德科信息,python开发工程师,上海,16000.0,22000.0,3-5年,本科,不需要融资,2000人以上,N,N,N,N,N,N,N,N
赤湾通信卫星应用,python开发工程师,深圳,15000.0,25000.0,3-5年,本科,未融资,15-50人,N,N,N,N,Y,N,N,N
优声科技,python开发工程师,北京,12000.0,16000.0,3-5年,本科,未融资,150-500人,N,N,Y,N,N,N,N,N
温州银行股份有限公司,python开发工程师,温州,13000.0,24000.0,3-5年,本科,未融资,2000人以上,N,N,N,N,N,N,N,N
达观数据,python开发工程师,上海,8000.0,15000.0,1-3年,本科,C轮,500-2000人,N,N,N,N,N,N,N,N
达观数据,python开发工程师,上海,15000.0,25000.0,3-5年,本科,C轮,500-2000人,N,N,N,N,N,N,N,N
有一科技,python开发工程师,上海,15000.0,27000.0,不限,不限,未融资,50-150人,N,N,N,N,N,N,N,N
讯鸿网络,python开发工程师,广州,15000.0,17000.0,1-3年,本科,B轮,50-150人,N,N,N,N,N,N,N,N
SEE DIGITAL 瑟尚,python工程师,上海,25000.0,50000.0,1-3年,本科,A轮,150-500人,N,N,N,Y,N,N,N,N
Altran （亚创）,python开发工程师,西安,11000.0,14000.0,3-5年,本科,上市公司,2000人以上,N,N,N,N,N,N,N,N
畅淼科技,Python开发工程师,南京,5000.0,10000.0,1-3年,本科,不需要融资,15-50人,N,N,N,N,N,N,N,N
众图互联,Python开发工程师,佛山,8000.0,15000.0,3-5年,本科,不需要融资,50-150人,N,N,N,N,N,N,N,N
码博科技,Python,北京,10000.0,16000.0,1-3年,本科,不需要融资,15-50人,N,N,N,N,N,N,N,N
名林科技,python开发工程师,厦门,15000.0,20000.0,3-5年,不限,未融资,少于15人,N,N,N,N,N,N,N,N
中环晶体,python开发工程师,呼和浩特,10000.0,17000.0,3-5年,本科,上市公司,2000人以上,N,N,N,N,Y,N,N,N
远帆科技,python开发,杭州,7000.0,13000.0,1-3年,本科,不需要融资,15-50人,N,N,N,N,N,Y,N,N
速诺科技,python开发工程师,武汉,10000.0,20000.0,3-5年,本科,不需要融资,150-500人,N,N,N,N,N,Y,N,N
数易科技,python开发工程师,北京,12000.0,15000.0,不限,本科,天使轮,15-50人,Y,N,N,N,N,N,N,N
南京迈特望科技股份有限公司,python开发工程师,天津,10000.0,12000.0,3-5年,大专,上市公司,500-2000人,N,N,N,N,N,N,N,N
中软国际科技服务有限公司,python开发工程师,武汉,10000.0,18000.0,1-3年,本科,上市公司,2000人以上,Y,N,N,Y,N,N,N,N
北瓜藤子,python,广州,18000.0,30000.0,不限,本科,不需要融资,15-50人,N,N,N,N,N,N,N,N
华为技术有限公司,Python开发工程师,南京,15000.0,25000.0,1-3年,本科,不需要融资,2000人以上,N,N,N,N,N,N,N,N
万,python开发工程师,济南,8000.0,15000.0,1-3年,本科,不需要融资,15-50人,N,N,N,N,N,N,N,N
