,abbr,aggregate_market_value,capital_stock_in_circulation,code,total_stock_issue,traded_market_value
33,深天马Ａ,2025184.07,245771.86,50,245774.77,2025160.16
34,方大集团,443510.06,67585.44,55,107387.42,279127.88
35,皇庭国际,378409.03,90372.88,56,118252.82,289193.21
36,深 赛 格,1024358.96,98471.16,58,123120.07,819280.05
37,华锦股份,838107.89,159944.25,59,159944.25,838107.89
38,中金岭南,1693131.35,373731.42,60,373759.68,1693003.31
39,农 产 品,1104723.65,169693.3,61,169696.41,1104703.39
40,深圳华强,2996530.21,104492.9,62,104590.93,2993721.58
41,中兴通讯,15551271.92,402737.37,63,478353.49,13092991.93
42,北方国际,1151739.81,97496.23,65,107138.59,1048084.46
43,中国长城,4790311.65,322558.98,66,322579.91,4790000.91
44,华控赛格,340254.95,100667.15,68,100667.15,340254.95
45,华侨城Ａ,1888873.14,689826.71,69,803775.81,1621092.78
46,ST特信,571718.92,88859.47,70,90034.48,564257.62
47,海王生物,610420.6,262644.11,78,263112.33,609334.34
48,盐 田 港,2376163.89,224913.55,88,519948.33,1027854.91
49,深圳机场,1404777.11,205074.24,89,205076.95,1404758.55
50,天健集团,668939.27,186845.99,90,186854.54,668908.66
51,广聚能源,879648.0,51084.8,96,52800.0,851072.77
52,中信海直,1788925.94,77577.01,99,77577.01,1788925.94
53,TCL科技,8018667.49,1809962.17,100,1877908.08,7728538.46
54,中成股份,478054.32,30793.47,151,33737.07,436343.46
55,丰原药业,275146.04,45294.37,153,46477.37,268142.68
56,川能动力,1931092.09,184616.83,155,184616.83,1931092.09
57,华数传媒,1432316.78,169987.59,156,185293.24,1314004.05
58,中联重科,6621308.08,707041.74,157,867799.22,5394728.45
59,常山北明,3974161.17,158780.34,158,159861.67,3947279.15
60,国际实业,258609.06,48067.29,159,48068.6,258602.0
61,申万宏源,11868933.72,2253550.73,166,2503994.46,10681830.47
62,东方盛虹,5969934.15,660854.82,301,661122.28,5967519.01
63,美的集团,58095850.22,690088.39,333,766436.02,52308699.59
64,潍柴动力,13073506.94,498174.48,338,871567.13,7472617.26
65,许继电气,2221145.99,100832.21,400,101887.43,2198142.09
66,冀东水泥,1254677.67,159194.48,401,265821.54,751397.92
67,金 融 街,818966.79,298831.75,402,298892.99,818798.99
68,派林生物,1599591.91,72694.01,403,73107.49,1590545.04
69,长虹华意,509469.06,69272.82,404,69599.6,507077.08
70,胜利股份,293948.28,87576.17,407,88008.47,292504.42
71,藏格矿业,5743885.78,157020.92,408,157022.57,5743825.42
72,云鼎科技,772909.18,42334.32,409,67799.05,482611.3
73,沈阳机床,1443257.88,168091.59,410,206474.66,1174960.24
74,英特集团,552684.17,32268.7,411,52189.25,341725.58
75,渤海租赁,1960493.25,539295.57,415,618452.13,1709566.97
76,合百集团,444533.99,77902.75,417,77988.42,444045.65
77,通程控股,294078.22,54358.27,419,54358.27,294078.22
78,吉林化纤,904863.55,245802.81,420,245886.83,904554.36
79,南京公用,355429.63,57435.69,421,57606.1,354378.23
80,湖北宜化,1268701.38,105781.72,422,108250.97,1239761.75
81,东阿阿胶,3590814.77,64397.68,423,64397.68,3590814.77
82,徐工机械,10528203.99,812009.22,425,1181616.61,7235002.16
83,兴业银锡,2313653.37,177520.55,426,177563.57,2313092.72
84,华天酒店,327075.25,101892.6,428,101892.6,327075.25
85,粤高速Ａ,3006579.21,130332.9,429,209080.61,1874187.11
86,ST张家界,297541.0,33173.88,430,40481.77,243828.02
87,ST晨鸣,561818.13,167582.45,488,294145.62,320082.49
88,山东路桥,892891.1,145790.42,498,156099.84,833921.19
89,武商集团,711318.28,76829.39,501,76899.27,710671.85
90,国新健康,1037247.35,95506.92,503,98131.25,1009508.17
91,*ST生物,219465.36,31066.87,504,33002.31,206594.69
92,京粮控股,479060.22,62251.54,505,72695.03,410237.62
93,*ST中润,664247.7,92867.1,506,92901.78,663999.74
94,珠海港,484700.29,90233.22,507,91973.49,475529.06
95,华塑控股,341254.72,107312.48,509,107312.81,341253.69
96,新金路,315192.18,60666.48,510,64854.36,294839.1
97,丽珠集团,3212493.7,58433.31,513,91134.57,2059774.01
98,渝 开 发,386447.1,84377.1,514,84377.1,386447.1
99,国际医学,1157315.95,222416.43,516,226038.27,1138772.14
100,荣安地产,598577.43,249198.64,517,318392.25,468493.45
101,*ST四环,197674.79,102953.57,518,102955.62,197670.85
102,中兵红箭,2442548.45,139255.9,519,139255.9,2442548.45
103,凤凰航运,456449.64,101208.35,520,101208.35,456449.64
104,长虹美菱,804370.42,87557.98,521,102992.37,683827.82
105,红棉股份,613046.47,132516.02,523,183546.85,442603.49
106,岭南控股,782803.64,67000.01,524,67020.86,782560.16
107,ST红太阳,911215.19,99007.76,525,129802.73,695034.46
108,学大教育,657928.13,11779.83,526,12186.11,635992.8
109,柳 工,2063664.21,201843.96,528,201924.09,2062845.3
110,广弘控股,354944.52,56988.44,529,58379.03,346489.7
111,冰山冷热,466296.52,60003.87,530,84321.25,331821.4
112,穗恒运Ａ,654000.04,90974.55,531,104140.13,571320.17
113,华金资本,499827.09,34354.97,532,34470.83,498147.13
114,顺钠股份,407581.44,68490.24,533,69081.6,404092.42
115,万泽股份,794468.4,49740.67,534,50410.43,783912.94
116,华映科技,1255778.89,276308.25,536,276603.28,1254439.46
117,中绿电,1775211.42,206660.24,537,206660.24,1775211.42
118,云南白药,10181002.41,177269.52,538,178426.26,10114999.07
119,粤电力Ａ,2304874.67,255389.66,539,525028.4,1121160.63
120,佛山照明,999791.63,118373.72,541,153577.82,770612.9
121,皖能电力,1706948.09,226686.33,543,226686.33,1706948.09
122,中原环保,802165.33,97468.45,544,97468.45,802165.33
123,金浦钛业,224011.11,98540.31,545,98683.31,223686.5
124,金圆股份,338276.99,69670.52,546,77764.83,303066.76
125,航天发展,1182866.52,158835.07,547,159846.83,1175379.51
126,湖南投资,256097.71,49918.43,548,49921.58,256081.55
127,江铃汽车,1673771.95,51846.32,550,86321.4,1005300.07
128,创元科技,499678.98,40263.2,551,40394.42,498055.84
129,甘肃能化,1289784.43,372577.8,552,535180.26,897912.51
130,安道麦A,1495739.15,217707.2,553,232981.18,1397680.2
131,泰山石油,305303.76,36265.32,554,48079.33,230284.78
132,神州信息,1094818.92,97218.73,555,97577.44,1090794.14
133,西部创业,783147.23,145791.62,557,145837.47,782901.0
134,天府文旅,495062.0,128868.46,558,128922.39,494854.89
135,万向钱潮,2788399.89,330377.88,559,330379.13,2788389.3
136,我爱我家,746693.77,225527.24,560,235550.09,714921.35
137,烽火电子,606148.6,60313.44,561,75111.35,486729.44
138,陕国投Ａ,1723408.01,511397.04,563,511397.04,1723408.01
139,供销大集,4785386.79,1471503.07,564,1805806.34,3899483.14
140,渝三峡Ａ,403240.76,43359.22,565,43359.22,403240.76
141,海南海药,682414.06,116590.97,566,129736.51,613268.52
142,海德股份,1092617.01,194993.06,567,195459.22,1090011.18
143,泸州老窖,18599579.19,146936.11,568,147195.15,18566847.4
144,苏常柴Ａ,391659.34,55569.25,570,70569.25,308409.34
145,新大洲A,373412.4,81399.54,571,83912.9,362227.98
146,海马汽车,633185.02,164225.31,572,164463.64,632267.43
147,粤宏远Ａ,275737.22,63296.48,573,63828.06,273440.8
148,甘化科工,378374.59,43385.24,576,43641.82,376150.02
149,威孚高科,1973035.87,82406.76,581,99698.63,1630829.88
150,北部湾港,1981867.98,180986.36,582,232613.61,1542003.75
151,*ST工智,111096.89,75886.22,584,76093.76,110793.88
152,汇源通信,195761.28,19344.0,586,19344.0,195761.28
153,贵州轮胎,715417.58,153783.85,589,155525.56,707405.71
154,启迪药业,222947.75,23937.14,590,23947.13,222854.8
155,太阳能,1723831.05,360321.88,591,391779.78,1585416.26
156,平潭发展,581466.05,191509.24,592,193178.09,576442.83
157,德龙汇能,200474.73,35848.32,593,35863.1,200392.09
158,*ST宝实,472542.39,113865.64,595,113865.64,472542.39
159,古井贡酒,8703399.0,40860.0,596,52860.0,6727599.0
160,东北制药,741704.59,140654.0,597,142910.33,729994.27
161,兴蓉环境,2154761.87,297484.07,598,298443.47,2147835.0
162,青岛双星,391227.55,81674.51,599,81675.9,391220.91
163,建投能源,1208611.98,109005.09,600,180929.94,728153.99
164,韶能股份,656975.41,108046.01,601,108055.17,656919.71
165,盛达资源,925938.86,66671.64,603,68996.93,894733.35
166,渤海股份,266609.9,35265.86,605,35265.86,266609.9
167,华媒控股,388760.79,88501.42,607,101769.84,338075.41
168,*ST阳光,123735.7,74475.96,608,74991.33,122885.34
169,*ST中迪,74217.85,29105.83,609,29926.55,72182.45
170,西安旅游,304457.8,23550.43,610,23674.79,302858.52
171,焦作万方,813079.99,119142.01,612,119219.94,812548.54
172,*ST美谷,242627.55,76250.03,615,76297.97,242475.09
173,中油资本,9026444.46,1264207.91,617,1264207.91,9026444.46
174,海螺新材,258524.94,36000.0,619,44116.88,210960.0
175,新华联,986464.93,467172.67,620,587181.5,784850.09
176,*ST恒立,75690.23,42522.6,622,42522.6,75690.23
177,吉林敖东,1922999.78,119107.93,623,119589.54,1915255.58
178,长安汽车,12233982.2,826072.78,625,991408.61,10193738.08
179,远大控股,306382.16,50603.01,626,50894.05,304630.13
180,天茂集团,1353732.39,455250.42,627,494062.92,1247386.14
181,高新发展,1652193.2,19208.26,628,35228.0,900867.32
182,钒钛股份,2444577.12,929027.07,629,929497.0,2443341.2
183,铜陵有色,4055740.11,1052767.66,630,1279413.28,3337273.48
184,顺发恒业,675468.7,239527.91,631,239527.91,675468.7
185,三木集团,170380.16,46548.16,632,46551.96,170366.27
186,合金投资,207572.34,38510.35,633,38510.64,207570.8
187,英 力 特,247645.18,30308.76,635,30348.67,247319.48
188,风华高科,1566595.89,115701.31,636,115701.32,1566595.79
189,茂化实华,190794.26,36801.43,637,51987.54,135061.23
190,*ST万方,102757.56,31014.56,638,31138.66,102348.05
191,西王食品,315193.0,107942.62,639,107942.81,315192.46
192,仁和药业,760166.46,133138.58,650,139993.82,722942.51
193,格力电器,26326606.98,551494.98,651,560140.57,25920264.13
194,泰达股份,556291.34,147446.24,652,147557.39,555872.31
195,金岭矿业,400663.97,59534.02,655,59534.02,400663.97
196,*ST金科,795617.66,531828.04,656,533971.58,792423.79
197,中钨高新,2363275.69,124730.91,657,227895.44,1293459.58
198,珠海中富,429424.64,128570.25,659,128570.25,429424.64
199,长春高新,3908041.53,39962.68,661,40793.75,3828424.8
200,永安林业,195276.68,30630.12,663,33668.39,177654.69
201,湖北广电,567437.6,113711.03,665,113714.95,567418.05
202,*ST荣控,82231.46,14684.19,668,14684.19,82231.46
203,ST金鸿,136762.17,68040.88,669,68040.88,136762.17
204,盈方微,575889.7,72210.67,670,83948.94,495365.2
205,上峰水泥,829802.51,96939.54,672,96939.54,829802.51
206,智度股份,1056516.49,126452.84,676,126528.92,1055881.2
207,恒天海龙,443220.69,86397.79,677,86397.79,443220.69
208,襄阳轴承,702746.44,45961.18,678,45961.18,702746.44
209,大连友谊,222393.6,35640.0,679,35640.0,222393.6
210,山推股份,1371299.25,131470.18,680,150032.74,1201637.45
211,视觉中国,1506241.49,67609.38,681,70057.74,1453601.66
212,东方电子,1305868.1,134059.47,682,134072.7,1305739.2
213,远兴能源,1921936.75,331845.95,683,373917.66,1705688.19
214,中山公用,1274496.21,125396.22,685,147511.14,1083423.31
215,东北证券,1750658.78,234045.29,686,234045.29,1750658.78
216,国城矿业,1317839.82,112539.26,688,112539.69,1317834.76
217,宝新能源,966094.21,217447.14,690,217588.79,965465.29
218,*ST亚太,130924.35,32327.0,691,32327.0,130924.35
219,惠天热电,184360.21,53283.3,692,53283.3,184360.21
220,滨海能源,208818.69,22172.04,695,22214.75,208417.14
221,ST炼石,622520.92,59089.64,697,87310.09,421309.15
222,沈阳化工,299942.27,78571.05,698,81951.44,287570.03
223,模塑科技,669233.22,91801.54,700,91801.54,669233.22
224,厦门信达,349392.27,66770.61,701,67580.71,345204.03
225,正虹科技,233625.22,26663.46,702,34662.49,179711.7
226,恒逸石化,2207125.44,364735.36,703,366632.13,2195706.84
227,浙江震元,267632.75,28196.07,705,33412.33,225850.54
228,双环科技,292875.98,46414.58,707,46414.58,292875.98
229,中信特钢,5773947.85,504715.72,708,504715.72,5773947.85
230,河钢股份,2284503.76,1033541.24,709,1033712.11,2284126.14
231,贝瑞基因,442255.35,32687.93,710,35352.15,408926.02
232,*ST京蓝,517112.7,228522.93,711,285697.62,413626.51
233,锦龙股份,1040256.0,89573.41,712,89600.0,1039947.32
234,丰乐种业,450072.98,61401.5,713,61401.5,450072.98
235,中兴商业,296407.6,41464.19,715,41571.89,295639.67
236,黑芝麻,489014.72,71085.81,716,75348.96,461346.93
237,中南股份,618080.63,242353.62,717,242384.56,618001.73
238,苏宁环球,655481.46,228209.31,718,303463.64,492932.11
239,中原传媒,1289236.72,66714.75,719,102320.37,840605.9
240,新能泰山,398320.51,125653.16,720,125653.16,398320.51
241,西安饮食,514227.22,51236.03,721,57391.43,459074.84
242,湖南发展,528212.12,46415.83,722,46415.83,528212.12
243,美锦能源,1880280.32,439623.54,723,440346.68,1877192.52
244,京东方Ａ,14530976.25,3693976.41,725,3764501.62,14258748.96
245,鲁 泰Ａ,518172.01,58863.54,726,81730.6,373194.85
246,冠捷科技,1105214.34,452956.7,727,452956.7,1105214.34
247,国元证券,3290288.53,436377.71,728,436377.79,3290287.96
248,燕京啤酒,3678193.84,250960.67,729,281853.93,3275036.7
249,四川美丰,383356.78,55882.91,731,55882.91,383356.78
250,振华科技,2774726.34,55376.82,733,55416.94,2772717.53
251,罗 牛 山,692059.66,115089.75,735,115151.36,691689.41
252,*ST中地,312287.13,72126.6,736,74709.84,301489.21
253,北方铜业,1710435.36,177226.92,737,190471.64,1591497.73
254,航发控制,2509371.07,131515.26,738,131518.4,2509311.12
255,普洛药业,1624190.45,116888.84,739,116932.36,1623585.99
256,国海证券,2439518.65,579620.4,750,638617.45,2214149.92
257,锌业股份,473379.76,140986.88,751,161563.06,413091.55
258,ST西发,229206.13,26375.85,752,26375.85,229206.13
259,漳州发展,519536.08,99148.11,753,99148.11,519536.08
260,山西高速,757132.06,146731.02,755,146731.02,757132.06
261,新华制药,956030.28,49262.39,756,68977.65,682776.76
262,浩物股份,231198.79,53271.45,757,53271.61,231198.11
263,中色股份,960549.54,196931.4,758,199284.14,949209.32
264,中百集团,566126.08,65570.6,759,66997.17,554071.59
265,本钢板材,1618643.39,370823.2,761,410823.2,1461043.39
266,西藏矿业,987625.0,52080.06,762,52117.41,986917.17
267,通化金马,1681700.79,96600.77,766,96649.47,1680853.36
268,晋控电力,953852.09,291224.64,767,307694.22,902796.4
269,中航西飞,6741505.35,277272.59,768,278114.91,6721087.48
270,广发证券,11994418.37,590404.93,776,760584.55,9310685.76
271,中核科技,666379.78,38341.08,777,38341.76,666368.02
272,新兴铸管,1367297.89,389362.48,778,396318.23,1343300.54
273,甘咨询,447630.76,46478.89,779,46482.95,447591.71
274,恒申新材,348783.41,52813.96,782,68658.15,268294.93
275,长江证券,3589017.34,553007.29,783,553007.29,3589017.34
276,居然智家,2110969.55,589794.41,785,622704.88,1999403.07
277,北新建材,4980669.12,163244.79,786,168950.78,4812456.51
278,北大医药,340904.81,59598.74,788,59598.74,340904.81
279,万年青,438574.08,79740.74,789,79740.74,438574.08
280,华神科技,231399.88,62270.76,790,62371.94,231024.52
281,甘肃能源,2222030.22,160052.48,791,324383.97,1096359.48
282,盐湖股份,8440058.2,529154.52,792,529157.25,8440014.67
283,ST华闻,561225.97,196100.86,793,199724.55,551043.42
284,英洛华,1207373.57,113368.41,795,113368.41,1207373.57
285,凯撒旅业,599817.05,133076.68,796,160378.89,497706.79
286,中国武夷,427245.15,157057.4,797,157075.42,427196.14
287,中水渔业,258662.11,36582.87,798,36585.87,258640.9
288,酒鬼酒,1428062.87,32490.05,799,32492.9,1427937.61
289,一汽解放,3558874.36,492082.59,800,492237.12,3557757.14
290,四川九洲,1621148.53,102280.66,801,102280.66,1621148.53
291,北京文化,312848.41,71546.53,802,71590.03,312658.32
292,山高环能,264224.44,45978.78,803,47098.83,257940.94
293,云铝股份,5052813.94,346791.94,807,346795.74,5052758.57
294,和展能源,271356.34,82479.13,809,82479.13,271356.34
295,创维数字,1336551.08,111908.37,810,115021.61,1300375.22
296,冰轮环境,942242.67,74582.85,811,76356.78,920352.35
297,陕西金叶,344374.29,76816.1,812,76869.26,344136.11
298,德展健康,673301.31,216460.03,813,216495.6,673190.68
299,美利云,938605.1,69526.3,815,69526.3,938605.1
300,智慧农业,451468.16,143672.55,816,144701.33,448258.36
301,航锦科技,1668007.14,67736.74,818,67915.6,1663614.33
302,岳阳兴长,536061.38,34880.27,819,36969.75,505763.95
303,*ST节能,139021.96,29403.19,820,64362.02,63510.89
304,京山轻机,695751.13,60465.08,821,62287.48,675394.9
305,山东海化,488720.19,89509.19,822,89509.19,488720.19
306,超声电子,540213.05,53694.56,823,53699.11,540167.29
307,太钢不锈,2037368.15,569624.78,825,570691.36,2033560.46
308,启迪环境,250862.17,142517.3,826,142535.32,250830.44
309,东莞控股,1108125.11,103951.56,828,103951.7,1108123.67
310,天音控股,1032276.14,102412.97,829,102510.04,1031298.58
311,鲁西化工,2068716.76,190416.05,830,191017.25,2062205.87
312,中国稀土,3471253.26,106122.08,831,106122.08,3471253.26
313,粤桂股份,995384.04,45370.2,833,80208.22,563044.21
314,秦川机床,1295545.77,100740.33,837,100742.28,1295520.69
315,财信发展,265211.38,105376.59,838,110046.22,253957.57
316,中信国安,1030914.33,391982.64,839,391982.64,1030914.33
317,承德露露,1034660.65,103951.87,848,105255.41,1021846.92
318,华茂股份,408606.95,94339.69,850,94366.5,408490.85
319,*ST高鸿,266307.8,113213.68,851,115786.0,260391.47
320,石化机械,598544.7,94100.14,852,95614.17,589066.86
321,冀东装备,274443.0,22700.0,856,22700.0,274443.0
322,五 粮 液,51074198.13,388145.95,858,388160.8,51072243.55
323,国风新材,607471.91,89585.4,859,89597.63,607389.03
324,顺鑫农业,1194244.85,74176.7,860,74176.7,1194244.85
325,银星能源,525070.09,62796.71,862,91795.47,359197.17
326,三湘印象,459292.13,116361.53,863,118069.96,452646.37
327,安凯客车,543979.03,73332.84,868,93951.47,424597.15
328,张 裕Ａ,1543851.32,45509.43,869,67182.39,1045806.69
329,吉电股份,1987744.3,278996.63,875,362727.06,1528901.53
330,新 希 望,4376584.21,449967.78,876,452594.02,4351188.42
331,天山股份,3469919.95,711049.02,877,711049.17,3469919.21
332,云南铜业,2390328.57,200358.9,878,200362.83,2390281.64
333,潍柴重机,1224560.94,16216.2,880,33132.06,599350.75
334,中广核技,687324.57,79034.4,881,94542.58,574580.11
335,华联股份,607692.13,273535.18,882,273735.19,607248.09
336,湖北能源,3029210.88,647975.65,883,650045.25,3019566.51
337,城发环境,896983.32,64207.83,885,64207.83,896983.32
338,海南高速,616040.03,97783.69,886,98882.83,609192.39
339,中鼎股份,2557939.58,131437.06,887,131648.97,2553822.09
340,峨眉山Ａ,699740.6,52691.31,888,52691.31,699740.6
341,ST中嘉,261225.22,86984.97,889,93629.11,242688.06
342,法尔胜,148923.91,41949.1,890,41950.4,148919.32
343,欢瑞世纪,354133.95,71083.65,892,98098.05,256611.96
344,亚钾国际,2610444.6,81172.01,893,92405.12,2293109.21
345,双汇发展,8578501.16,346412.37,895,346466.12,8577170.39
346,津滨发展,368738.07,161724.16,897,161727.22,368731.09
347,鞍钢股份,2220505.44,795719.77,898,936922.13,1885855.85
348,赣能股份,930796.58,97567.78,899,97567.78,930796.58
349,现代投资,619273.96,151776.08,900,151782.83,619246.42
350,航天科技,892389.17,79819.34,901,79820.14,892380.2
351,新洋丰,1676323.51,114278.24,902,125473.32,1526757.22
352,云内动力,699967.13,192026.16,903,194976.92,689373.93
353,厦门港务,555615.39,74180.81,905,74180.96,555614.26
354,浙商中拓,454188.04,70015.33,906,70856.17,448798.24
355,*ST景峰,441646.72,87977.44,908,87977.44,441646.72
356,ST数源,254311.98,43771.06,909,43771.42,254309.84
357,大亚圣象,420948.68,54711.7,910,54739.75,420732.97
358,广农糖业,302241.46,40031.98,911,40031.98,302241.46
359,泸天化,774592.0,156800.0,912,156800.0,774592.0
360,钱江摩托,827832.49,45974.42,913,52661.1,722717.96
361,华特达因,723615.63,23419.88,915,23433.15,723206.0
362,电广传媒,1036233.68,141745.94,917,141755.63,1036162.79
363,金陵药业,411023.99,59035.95,919,62370.86,389046.89
364,沃顿科技,470730.63,42197.75,920,47262.11,420289.59
365,海信家电,4019430.17,91183.13,921,138601.04,2644310.85
366,佳电股份,746662.69,58731.88,922,69521.67,630780.34
367,河钢资源,854422.21,62789.57,923,65272.9,821915.51
368,众合科技,515393.83,67324.43,925,67636.99,513012.16
369,福星股份,353638.18,157304.62,926,159296.48,349216.25
370,中国铁物,1554940.89,605035.06,927,605035.36,1554940.1
371,中钢国际,949734.74,143462.71,928,143464.46,949723.12
372,*ST兰黄,128178.54,18575.42,929,18576.6,128170.41
373,中粮科技,1032146.1,185634.81,930,185972.27,1030273.18
374,中 关 村,373550.98,74602.95,931,75312.7,370030.65
375,华菱钢铁,3371412.66,690854.66,932,690863.25,3371370.73
376,神火股份,3767662.2,224318.9,933,224935.06,3757341.54
377,四川双马,1215397.01,76344.03,935,76344.03,1215397.01
378,华西股份,613120.92,88588.73,936,88601.29,613034.04
379,冀中能源,2335674.47,343339.42,937,353354.68,2269473.53
380,紫光股份,7207401.28,286007.99,938,286007.99,7207401.28
381,南天信息,739214.28,38903.63,948,39361.78,730610.17
382,新乡化纤,676731.31,169984.68,949,170032.99,676539.02
383,重药控股,846810.5,172818.47,950,172818.47,846810.5
384,中国重汽,2003152.26,117486.94,951,117486.94,2003152.26
385,广济药业,200117.25,34398.48,952,34985.53,196759.31
386,河化股份,237247.18,36612.22,953,36612.22,237247.18
387,欣龙控股,253045.65,53804.48,955,53839.5,252881.07
388,中通客车,668202.74,59290.39,957,59290.39,668202.74
389,电投产融,3488455.2,538339.6,958,538341.85,3488440.62
390,首钢股份,2798633.17,650726.36,959,777398.1,2342614.91
391,锡业股份,2322226.55,164580.2,960,164580.2,2322226.55
392,东方钽业,781690.87,50011.45,962,50496.83,774177.19
393,华东医药,6800556.72,175194.12,963,175407.7,6792276.14
394,天保基建,457250.33,110983.09,965,110983.09,457250.33
395,长源电力,1764884.75,274932.77,966,348103.5,1393909.14
396,盈峰环境,2090182.59,316543.56,967,316694.33,2089187.51
397,蓝焰控股,634681.74,96750.27,968,96750.27,634681.74
398,安泰科技,1256658.84,102592.62,969,105071.81,1227007.68
399,中科三环,1359181.41,121572.58,970,121572.58,1359181.41
400,*ST中基,252209.73,77128.36,972,77128.36,252209.73
401,佛塑科技,605606.9,96742.32,973,96742.32,605606.9
402,山金国际,5583988.47,252743.24,975,277672.23,5082666.64
403,浪潮信息,7550581.04,147042.09,977,147213.51,7541788.74
404,桂林旅游,281346.13,36009.02,978,46813.0,216414.24
405,众泰汽车,1094232.86,499151.34,980,504254.77,1083158.4
406,山子高科,1969501.76,951332.08,981,999747.09,1874124.19
407,山西焦煤,3627667.58,464021.35,983,567710.11,2965096.44
408,大庆华科,224146.7,12963.95,985,12963.95,224146.7
409,越秀资本,3231033.31,501458.87,987,501713.25,3229395.14
410,华工科技,4313606.61,100498.57,988,100550.27,4311388.47
411,九芝堂,692457.09,69415.34,989,85594.2,561570.06
412,诚志股份,932087.19,121523.66,990,121523.75,932086.5
413,闽东电力,500540.94,43974.76,993,45795.15,480644.1
414,皇台酒业,236307.46,17740.8,995,17740.8,236307.46
415,新 大 陆,2941379.37,102640.44,997,103206.29,2925252.55
416,隆平高科,1357796.38,131505.05,998,131697.03,1355817.11
417,华润三九,5409466.06,127565.21,999,128429.87,5373046.76
418,东瑞股份,376880.21,16452.6,1201,25778.4,240536.96
419,炬申股份,209042.4,9044.06,1202,12880.0,146785.17
420,大中矿业,1280310.33,131506.53,1203,150802.16,1116490.42
421,盛航股份,313965.24,15941.88,1205,18800.31,266229.4
422,依依股份,342423.33,10631.55,1206,18489.38,196896.23
423,联科科技,429399.36,19645.39,1207,20235.6,416875.22
424,华菱线缆,561679.62,27007.27,1208,53442.4,283846.46
425,洪兴股份,230690.85,9609.46,1209,13152.27,168549.99
426,金房能源,206339.35,7941.88,1210,13067.72,125402.29
427,双枪科技,160632.0,6699.66,1211,7200.0,149469.36
428,中旗新材,730267.72,10929.94,1212,12843.26,621476.59
429,中铁特货,1800000.0,444444.44,1213,444444.44,1800000.0
430,千味央厨,263110.49,9679.15,1215,9716.04,262111.37
431,华瓷股份,343042.45,25186.67,1216,25186.67,343042.45
432,华尔泰,361074.56,32858.26,1217,33187.0,357497.92
433,丽臣实业,223516.07,11299.9,1218,13017.83,194019.33
434,青岛食品,268102.66,18992.14,1219,19498.38,261141.99
435,源飞宠物,293779.71,7854.52,1222,19089.0,120881.1
436,欧克科技,341001.52,1668.0,1223,6668.0,85301.52
437,和泰机电,226657.13,2103.88,1225,6466.68,73740.9
438,拓山重工,201600.09,1866.67,1226,7466.67,50400.09
439,兰州银行,1332793.14,421276.54,1227,569569.72,985787.11
440,永泰运,234734.02,10386.46,1228,10386.46,234734.02
441,魅视科技,321300.0,2940.59,1229,10000.0,94481.19
442,劲旅环境,249504.21,5407.77,1230,13349.61,101071.25
443,农心科技,188700.0,3564.15,1231,10000.0,67255.51
444,泰慕士,220508.91,10666.67,1234,10943.37,214933.4
445,弘业期货,899945.56,32643.57,1236,100777.78,291507.04
446,浙江正特,357940.0,3197.71,1238,11000.0,104053.56
447,永达股份,362880.0,9240.0,1239,24000.0,139708.8
448,博菲电气,224720.0,2000.0,1255,8000.0,56180.0
